Total Calls,Total Folds,Total Raises,Total Bets,Total Hands,Preflop Calls,Preflop Raises,Preflop Folds,VPIP,PFR,Agression Factor,Number of Shows,Number of Stands,Profit Yes or No
0.0,0.0,0.0,0.0,138.0,61.0,21.0,71.0,59.42,15.22,0.0,0.0,0.0,0.0
229.0,246.0,58.0,67.0,407.0,134.0,51.0,170.0,45.45,12.53,0.55,101.0,2.0,1.0
51.0,258.0,117.0,106.0,411.0,32.0,107.0,208.0,33.82,26.03,4.37,60.0,0.0,0.0
164.0,229.0,96.0,109.0,413.0,104.0,85.0,171.0,45.76,20.58,1.25,74.0,0.0,0.0
36.0,38.0,4.0,6.0,44.0,20.0,3.0,23.0,52.27,6.82,0.28,2.0,2.0,0.0
30.0,34.0,10.0,12.0,50.0,18.0,7.0,24.0,50.0,14.0,0.73,6.0,0.0,0.0
6.0,16.0,1.0,5.0,18.0,4.0,1.0,13.0,27.78,5.56,1.0,1.0,0.0,0.0
16.0,13.0,3.0,7.0,19.0,7.0,2.0,9.0,47.37,10.53,0.62,3.0,0.0,0.0
31.0,118.0,24.0,18.0,139.0,18.0,23.0,95.0,29.5,16.55,1.35,5.0,1.0,0.0
66.0,106.0,16.0,21.0,133.0,38.0,12.0,83.0,37.59,9.02,0.56,11.0,1.0,1.0
23.0,114.0,30.0,25.0,140.0,12.0,27.0,99.0,27.86,19.29,2.39,8.0,1.0,1.0
121.0,105.0,13.0,41.0,140.0,86.0,4.0,68.0,64.29,2.86,0.45,11.0,0.0,1.0
34.0,65.0,14.0,17.0,81.0,19.0,12.0,51.0,38.27,14.81,0.91,9.0,0.0,1.0
38.0,117.0,31.0,22.0,139.0,18.0,30.0,91.0,34.53,21.58,1.39,11.0,1.0,0.0
0.0,0.0,0.0,0.0,27.0,5.0,6.0,18.0,40.74,22.22,0.0,0.0,0.0,0.0
27.0,136.0,41.0,29.0,166.0,18.0,37.0,112.0,33.13,22.29,2.59,13.0,0.0,1.0
16.0,28.0,19.0,12.0,40.0,11.0,16.0,17.0,67.5,40.0,1.94,6.0,0.0,1.0
34.0,130.0,41.0,32.0,163.0,16.0,33.0,112.0,30.06,20.25,2.15,21.0,0.0,0.0
74.0,97.0,16.0,23.0,126.0,48.0,11.0,68.0,46.83,8.73,0.53,26.0,0.0,1.0
29.0,71.0,20.0,17.0,90.0,18.0,17.0,58.0,38.89,18.89,1.28,13.0,0.0,0.0
25.0,20.0,1.0,9.0,69.0,33.0,1.0,33.0,49.28,1.45,0.4,20.0,0.0,0.0
69.0,132.0,30.0,33.0,165.0,38.0,23.0,102.0,36.97,13.94,0.91,16.0,1.0,0.0
0.0,0.0,0.0,0.0,164.0,71.0,15.0,80.0,52.44,9.15,0.0,0.0,0.0,0.0
97.0,145.0,66.0,54.0,187.0,53.0,59.0,98.0,59.89,31.55,1.24,29.0,4.0,0.0
33.0,89.0,15.0,11.0,106.0,18.0,13.0,76.0,29.25,12.26,0.79,16.0,0.0,0.0
17.0,135.0,10.0,7.0,143.0,10.0,9.0,124.0,13.29,6.29,1.0,21.0,1.0,1.0
29.0,59.0,20.0,14.0,72.0,19.0,15.0,46.0,47.22,20.83,1.17,7.0,0.0,0.0
69.0,105.0,19.0,27.0,132.0,39.0,14.0,83.0,40.15,10.61,0.67,21.0,0.0,0.0
5.0,8.0,4.0,0.0,12.0,3.0,2.0,6.0,41.67,16.67,0.8,2.0,0.0,0.0
39.0,22.0,2.0,7.0,34.0,19.0,1.0,17.0,58.82,2.94,0.23,7.0,0.0,0.0
65.0,156.0,46.0,46.0,197.0,39.0,34.0,129.0,37.06,17.26,1.42,25.0,0.0,1.0
51.0,162.0,49.0,39.0,197.0,31.0,42.0,130.0,37.06,21.32,1.73,23.0,0.0,0.0
46.0,166.0,40.0,23.0,197.0,21.0,32.0,146.0,26.9,16.24,1.37,25.0,0.0,1.0
0.0,0.0,0.0,0.0,45.0,17.0,3.0,25.0,44.44,6.67,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,98.0,45.0,20.0,46.0,66.33,20.41,0.0,0.0,0.0,0.0
25.0,80.0,16.0,12.0,93.0,13.0,15.0,68.0,30.11,16.13,1.12,10.0,2.0,0.0
124.0,146.0,37.0,44.0,199.0,76.0,29.0,106.0,52.76,14.57,0.65,87.0,0.0,1.0
115.0,194.0,36.0,44.0,238.0,70.0,31.0,145.0,42.44,13.03,0.7,43.0,0.0,0.0
21.0,203.0,50.0,42.0,238.0,15.0,46.0,177.0,25.63,19.33,4.38,15.0,0.0,1.0
102.0,189.0,49.0,36.0,238.0,61.0,37.0,149.0,41.18,15.55,0.83,20.0,0.0,1.0
0.0,0.0,0.0,0.0,238.0,95.0,44.0,129.0,58.4,18.49,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,215.0,60.0,61.0,102.0,56.28,28.37,0.0,0.0,0.0,0.0
55.0,142.0,45.0,22.0,177.0,35.0,41.0,102.0,42.94,23.16,1.22,17.0,0.0,0.0
29.0,144.0,48.0,42.0,177.0,15.0,41.0,112.0,31.64,23.16,3.1,19.0,1.0,0.0
154.0,110.0,19.0,53.0,164.0,93.0,15.0,66.0,65.85,9.15,0.47,25.0,0.0,1.0
35.0,88.0,17.0,17.0,104.0,25.0,15.0,71.0,38.46,14.42,0.97,12.0,1.0,0.0
94.0,133.0,39.0,45.0,178.0,55.0,31.0,102.0,48.31,17.42,0.89,20.0,0.0,1.0
51.0,96.0,19.0,22.0,123.0,28.0,15.0,86.0,34.96,12.2,0.8,22.0,0.0,1.0
0.0,0.0,0.0,0.0,51.0,24.0,7.0,24.0,60.78,13.73,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,67.0,26.0,4.0,38.0,44.78,5.97,0.0,0.0,0.0,0.0
60.0,110.0,29.0,22.0,141.0,30.0,28.0,89.0,41.13,19.86,0.85,16.0,1.0,1.0
45.0,65.0,12.0,13.0,84.0,23.0,7.0,56.0,35.71,8.33,0.56,13.0,0.0,1.0
46.0,77.0,14.0,15.0,103.0,27.0,12.0,64.0,37.86,11.65,0.63,14.0,0.0,0.0
45.0,101.0,40.0,30.0,141.0,26.0,37.0,77.0,44.68,26.24,1.56,19.0,1.0,1.0
52.0,62.0,13.0,29.0,86.0,33.0,13.0,48.0,53.49,15.12,0.81,12.0,0.0,1.0
39.0,102.0,49.0,39.0,142.0,20.0,43.0,82.0,44.37,30.28,2.26,25.0,0.0,0.0
29.0,76.0,16.0,13.0,90.0,16.0,13.0,63.0,32.22,14.44,1.0,7.0,1.0,1.0
0.0,0.0,0.0,0.0,126.0,47.0,1.0,87.0,38.1,0.79,0.0,0.0,0.0,0.0
17.0,77.0,10.0,5.0,86.0,13.0,8.0,68.0,24.42,9.3,0.88,5.0,0.0,0.0
24.0,139.0,31.0,12.0,165.0,11.0,27.0,128.0,23.03,16.36,1.79,15.0,1.0,0.0
69.0,134.0,36.0,34.0,170.0,40.0,27.0,114.0,39.41,15.88,1.01,19.0,1.0,1.0
54.0,146.0,23.0,28.0,175.0,34.0,20.0,125.0,30.86,11.43,0.94,12.0,1.0,1.0
24.0,150.0,39.0,30.0,176.0,16.0,34.0,128.0,28.41,19.32,2.88,6.0,0.0,1.0
89.0,131.0,29.0,37.0,176.0,61.0,25.0,104.0,48.86,14.2,0.74,25.0,0.0,0.0
0.0,0.0,0.0,0.0,102.0,19.0,20.0,66.0,38.24,19.61,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,161.0,58.0,44.0,86.0,63.35,27.33,0.0,0.0,0.0,0.0
40.0,161.0,42.0,39.0,195.0,24.0,37.0,132.0,31.28,18.97,2.02,23.0,1.0,1.0
97.0,108.0,6.0,35.0,143.0,60.0,2.0,83.0,43.36,1.4,0.42,32.0,0.0,1.0
17.0,47.0,9.0,11.0,57.0,14.0,7.0,36.0,36.84,12.28,1.18,6.0,0.0,0.0
45.0,80.0,4.0,9.0,91.0,31.0,3.0,61.0,37.36,3.3,0.29,9.0,1.0,0.0
89.0,150.0,39.0,25.0,191.0,47.0,38.0,118.0,44.5,19.9,0.72,18.0,0.0,0.0
55.0,128.0,20.0,29.0,156.0,39.0,17.0,104.0,35.9,10.9,0.89,26.0,1.0,1.0
6.0,58.0,7.0,9.0,65.0,5.0,7.0,55.0,18.46,10.77,2.67,2.0,1.0,1.0
34.0,173.0,40.0,34.0,207.0,21.0,37.0,146.0,28.02,17.87,2.18,22.0,0.0,1.0
0.0,0.0,0.0,0.0,87.0,28.0,18.0,40.0,52.87,20.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,171.0,23.0,32.0,121.0,32.16,18.71,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,88.0,35.0,15.0,43.0,56.82,17.05,0.0,0.0,0.0,0.0
66.0,68.0,4.0,19.0,90.0,38.0,4.0,55.0,46.67,4.44,0.35,17.0,0.0,0.0
44.0,99.0,14.0,16.0,114.0,30.0,13.0,80.0,37.72,11.4,0.68,11.0,1.0,1.0
56.0,78.0,26.0,24.0,103.0,34.0,23.0,56.0,55.34,22.33,0.89,22.0,1.0,1.0
9.0,43.0,5.0,1.0,48.0,7.0,5.0,39.0,25.0,10.42,0.67,1.0,0.0,0.0
19.0,36.0,5.0,5.0,43.0,14.0,3.0,28.0,39.53,6.98,0.53,18.0,1.0,0.0
29.0,113.0,20.0,13.0,126.0,21.0,18.0,94.0,30.95,14.29,1.14,11.0,0.0,0.0
87.0,139.0,34.0,22.0,170.0,54.0,26.0,105.0,47.06,15.29,0.64,27.0,0.0,0.0
39.0,158.0,33.0,23.0,188.0,20.0,31.0,143.0,27.13,16.49,1.44,19.0,0.0,1.0
55.0,159.0,32.0,16.0,188.0,31.0,26.0,138.0,30.32,13.83,0.87,31.0,0.0,1.0
0.0,0.0,0.0,0.0,183.0,49.0,24.0,122.0,39.89,13.11,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,183.0,41.0,52.0,110.0,50.82,28.42,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,88.0,24.0,20.0,51.0,50.0,22.73,0.0,0.0,0.0,0.0
